books,authors,movies,released_year,imdb_links
"Le comte de Monte Cristo (The Count of Monte Cristo) (1844-1846),"," Alexandre Dumas, père",Uznik Zamka If,1988,
"The Comedians (1966),", Graham Greene,The Comedians,1967,
[[Louis L'Amour#Novels - Conagher (1968) ISBN 0-553-28101-1,Louis L'Amour,Conagher,1991,https://www.imdb.com/title/tt0101609/
"La comtesse de Cagliostro (1924),", Maurice Leblanc,Arsène Lupin,2004,/wiki/Ars%C3%A8ne_Lupin_(1916_film)
"Congo (1980),", Michael Crichton,Congo,1995,
"A Connecticut Yankee in King Arthur's Court (1889),", Mark Twain,A Connecticut Yankee in King Arthur's Court,1921,https://en.wikisource.org/wiki/A_Connecticut_Yankee_in_King_Arthur%27s_Court
"A Connecticut Yankee in King Arthur's Court (1889),", Mark Twain,A Connecticut Yankee,1931,
"A Connecticut Yankee in King Arthur's Court (1889),", Mark Twain,Un español en la corte del rey Arturo,1964,
"A Connecticut Yankee in King Arthur's Court (1889),", Mark Twain,A Connecticut Rabbit in King Arthur's Court,1978,
"A Connecticut Yankee in King Arthur's Court (1889),", Mark Twain,Unidentified Flying Oddball,1979,
"A Connecticut Yankee in King Arthur's Court (1889),", Mark Twain,Novye priklyucheniya yanki pri dvore korolya Artura,1988,
"A Connecticut Yankee in King Arthur's Court (1889),", Mark Twain,A Kid in King Arthur's Court,1995,https://www.imdb.com/title/tt0113538/
"A Connecticut Yankee in King Arthur's Court (1889),", Mark Twain,A Kid in Aladdin's Palace,1998,
"A Connecticut Yankee in King Arthur's Court (1889),", Mark Twain,A Young Connecticut Yankee in King Arthur's Court,1996,
"A Connecticut Yankee in King Arthur's Court (1889),", Mark Twain,A Knight in Camelot,1998,https://www.imdb.com/title/tt0176892/
"A Connecticut Yankee in King Arthur's Court (1889),", Mark Twain,Black Knight,2001,/wiki/Black_Knight_(comics)
"The Constant Gardener (2001),", John le Carré,The Constant Gardener,2005,/wiki/The_Constant_Gardener_(film)
"Contact (1985),", Carl Sagan,Contact,1997,
"Cops and Robbers (1972),", Donald E. Westlake,Cops and Robbers,1973,
"Corazón salvaje (Wild Heart) (1957),", Caridad Bravo Adams,Corazón salvaje,1956,
"Corazón salvaje (Wild Heart) (1957),", Caridad Bravo Adams,Juan del Diablo,1960,
"Coroner Creek (1945),", Luke Short,Coroner Creek,1948,https://www.imdb.com/title/tt0040245/
"The Cowboys (1971),", William Dale Jennings,The Cowboys,1972,https://www.imdb.com/title/tt0068421/
"Cracking India (1991),", Bapsi Sidhwa,Earth,1998,/wiki/Category:Earth
"Crash (1973),", J. G. Ballard,Crash,1996,
"Creator (1980),", Jeremy Leven,Creator,1985,
"O Crime do Padre Amaro (The Crime of Father Amaro, a. k. a. The Sins of Father Amaro) (1875),", José Maria de Eça de Queiroz,O Crime do Padre Amaro,2005,
"Crouching Tiger, Hidden Dragon (1942),", Wang Dulu,Crouching Tiger,,
"Crouching Tiger, Hidden Dragon (1942),", Wang Dulu,Hidden Dragon,2000,
"The Cruel Sea (1951),", Nicholas Monsarrat,The Cruel Sea,1953,
"Cry Wolf (a. k. a. The Demarest Inheritance) (1945),", Marjorie Carleton,Cry Wolf,1947,
"Cutter and Bone (1976),", Newton Thornburg,Cutter's Way,1981,https://www.imdb.com/title/tt0082220/
"Cyborg (1972),", Martin Caidin,The Six Million Dollar Man,1973,https://www.imdb.com/title/tt0070700/
"Cycle of the Werewolf (1983),", Stephen King,Silver Bullet,1985,
"The Cypher (a. k. a. The Cipher) (1961),", Gordon Cotler,Arabesque,1966,
"The Eagle Has Landed (1975),", Jack Higgins,The Eagle Has Landed,1976,
"The Eagle of the Ninth (1954),", Rosemary Sutcliff,The Eagle,2011,
"East of Eden (1952),", John Steinbeck,East of Eden,1955,/wiki/East_of_Eden_(Zella_Day_song)
"Eaters of the Dead (1976),", Michael Crichton,The 13th Warrior,1999,https://www.imdb.com/title/tt0120657/
"Eddie and the Cruisers (1980),", P. F. Kluge,Eddie and the Cruisers,1983,https://www.imdb.com/title/tt0085475/
"The Egyptian (Sinuhe the Egyptian) (1945),", Mika Waltari,The Egyptian,1954,
"The Egyptian Series (1993–2007),", Wilbur SmithRiver God (1993),The Seventh Scroll,1999,http://www.wilbursmithbooks.com/novels/the_seventh_scroll.html
"Election (1998),", Tom Perrotta,Election,1999,
"Elephant Walk (1948),", Digby George Gerahty (as Robert Standish),Elephant Walk,1954,https://www.imdb.com/title/tt0046951/
"Elles n'oublient jamais (1993),", Christopher Frank,Elles n'oublient jamais,1994,
"Ellis Island (1983),", Fred Mustard Stewart,Ellis Island,1984,http://nyharborparks.org/visit/elis.html
"Elmer Gantry (1927),", Sinclair Lewis,Elmer Gantry,1960,/wiki/Elmer_Gantry_(opera)
"Emma (1815),", Jane Austen,Emma,1972,
"Emma (1815),", Jane Austen,Clueless,1995,https://www.imdb.com/title/tt0112697/
"Emma (1815),", Jane Austen,Aisha,2009,
"Emil and the Detectives (1929),", Erich Kästner,Emil and the Detectives,1931,
"Emotional Arithmetic (1990),", Matt Cohen,Emotional Arithmetic,2008,https://www.imdb.com/title/tt0861704/
"Empire of the Sun (1984),", J. G. Ballard,Empire of the Sun,1987,http://www.bl.uk/works/empire-of-the-sun
"The Enchanted April (1922),", Elizabeth von Arnim,Enchanted April,1935,
"The Enchanted Voyage (1936),", Robert Nathan,Wake Up and Dream,1946,
"The End of the Affair (1951),", Graham Greene,The End of the Affair,1955,
"Endless Love (1979),", Scott Spencer,Endless Love,1981,
"Enduring Love (1997),", Ian McEwan,Enduring Love,2004,
"Los Enemigos de la Mujer (1922),", Vicente Blasco Ibáñez,Enemies of Women,1923,https://www.imdb.com/title/tt0014021/
"The Enemy Below (1956),", D. A. Rayner (Denys Rayner),The Enemy Below,1957,https://www.imdb.com/title/tt0050356/
"Enemy Mine (1979),", Barry B. Longyear,Enemy Mine,1985,
"The English Patient (1992),", Michael Ondaatje,The English Patient,1996,https://archive.org/details/englishpatientno0000onda
"Enigma (1995),", Robert Harris,Enigma,2001,
"The Entity (1978),", Frank De Felitta,The Entity,1981,https://www.imdb.com/title/tt0082334/
"Eragon (2003),", Christopher Paolini,Eragon,2006,http://www.alagaesia.com/books_detail.php?book=eragon
"Escape (1939),", Grace Zaring Stone,Escape,1940,
"Escape to Witch Mountain (1968),", Alexander Key,Escape to Witch Mountain,1975,http://www.isfdb.org/cgi-bin/title.cgi?20189
"Escape to Witch Mountain (1968),", Alexander Key,Return from Witch Mountain,1978,https://www.imdb.com/title/tt0078158/
"Escape to Witch Mountain (1968),", Alexander Key,Beyond Witch Mountain,1982,https://www.imdb.com/title/tt0249397/
"Escape to Witch Mountain (1968),", Alexander Key,Race to Witch Mountain,2009,https://www.imdb.com/title/tt1075417/
"L'étoile du nord (The North Star) (1854),", Georges Simenon,L'Etoile du nord,1982,
"The Evening Star (1992),", Larry McMurtry,The Evening Star,1996,https://www.imdb.com/title/tt0116240/
"Everybody's All-American (1981),", Frank Deford,Everybody's All-American,1988,
"Everything Is Illuminated (2002),", Jonathan Safran Foer,Everything Is Illuminated,2005,https://www.imdb.com/title/tt0404030/
"Evil Come, Evil Go (1961),", Whit Masterson,The Yellow Canary,1963,https://www.imdb.com/title/tt0057700/
"Evil Under the Sun (1981),", Agatha Christie,Evil Under the Sun,1982,https://web.archive.org/web/20090208235136/http://agathachristie.com/story-explorer/stories/evil-under-the-sun-1/
"The Executioners (1957),", John D. MacDonald,Cape Fear,1962,
"Executive Suite (1952),", Cameron Hawley,Executive Suite,1954,https://www.imdb.com/title/tt0046963/
"Exit to Eden (1984),", Anne Rice (as Anne Rampling),Exit To Eden,1994,
"Exit Wounds (1990),", John Westermann,Exit Wounds,2001,https://www.imdb.com/title/tt0242445/
"Exodus (1958),", Leon Uris,Exodus,1960,
"The Exorcist (1971),", William Peter Blatty,The Exorcist,1973,https://www.imdb.com/title/tt0070047/
"The Exorcist (1971),", William Peter Blatty,Exorcist II: The Heretic,1977,https://www.imdb.com/title/tt0076009/
"The Exorcist (1971),", William Peter Blatty,The Exorcist III,1990,https://www.imdb.com/title/tt0099528/
"The Exorcist (1971),", William Peter Blatty,Exorcist: The Beginning,2004,https://www.imdb.com/title/tt0204313/
"The Exorcist (1971),", William Peter Blatty,Dominion: Prequel to the Exorcist,2005,https://www.imdb.com/title/tt0449086/
"Experiment Perilous (1943),", Margaret Carpenter,Experiment Perilous,1944,https://www.imdb.com/title/tt0036807/
"Extension du domaine de la lutte (Broadening the Trial of the Struggle, a.k.a. Whatever) (1994),", Michel Houellebecq,Extension du domaine de la lutte,1999,
"Extremely Loud and Incredibly Close (2005),", Jonathan Safran Foer,Extremely Loud and Incredibly Close,2012,
"The Eye of the Beholder (1980),", Marc Behm,Eye of the Beholder,1999,
"Eye of the Needle (a.k.a. Storm Island) (1978),", Ken Follett,Eye of the Needle,1981,
"Eye of the Needle (a.k.a. Storm Island) (1978),", Ken Follett,Fanaa,2006,
"Fahrenheit 451 (1953),", Ray Bradbury,Fahrenheit 451,1966,https://en.wikiquote.org/wiki/Special:Search/Fahrenheit_451
"Fail-Safe (1962),", Eugene Burdick and Harvey Wheeler,Fail-Safe,1964,
"The Fair Bride (1953),", Bruce Marshall,The Angel Wore Red,1960,https://www.imdb.com/title/tt0053601/
"Falling Angel (1978),", William Hjortsberg,Angel Heart,1987,http://alanparker.com/film/angel-heart/
"False Witness (1981),", Dorothy Uhnak,False Witness,1989,https://www.imdb.com/title/tt1090903/
"The Family Band: From the Missouri to the Black Hills (1962),", Laura Bower Van Nuys,The One and Only,,
"The Family Band: From the Missouri to the Black Hills (1962),", Laura Bower Van Nuys,Genuine,,
"The Family Band: From the Missouri to the Black Hills (1962),", Laura Bower Van Nuys,Original Family Band,1968,
"Family Business (1985),", Vincent Patrick,Family Business,1989,
"The Fan (1995),", Peter Abrahams,The Fan,1996,
"Fantastic Mr Fox (1970),", Roald Dahl,Fantastic Mr. Fox,2009,/wiki/Fantastic_Mr._Fox_(film)
"Far from the Madding Crowd (1874),", Thomas Hardy,Far from the Madding Crowd,1915,/wiki/Far_from_the_Madding_Crowd_(1915_film)
"Farewell My Concubine (1991),", Lilian Lee,Farewell My Concubine,1993,
"A Farewell to Arms (1929),", Ernest Hemingway,A Farewell to Arms,1932,https://fadedpage.com/showbook.php?pid=20170312
"A Farewell to Arms (1929),", Ernest Hemingway,In Love and War,1996,
"Fate Is the Hunter (1961),", Ernest K. Gann,Face Is the Hunter,1964,
"Father of Frankenstein (1995),",[1] Christopher Bram,Gods and Monsters,1998,
"Father of the Bride (1949),", Edward Streeter,Father of the Bride,1950,
"Father of the Bride (1949),", Edward Streeter,Father's Little Dividend,1951,https://www.imdb.com/title/tt0043526/
"Father of the Bride (1949),", Edward Streeter,Father of the Bride Part II,1995,https://www.imdb.com/title/tt0113041/
"Father Sky (1979),", Devery Freeman,Taps,1981,
"Fear and Loathing in Las Vegas (1971),", Hunter S. Thompson,Fear and Loathing in Las Vegas,1998,https://www.imdb.com/title/tt0120669/
"The Feather Men (1991),", Sir Ranulph Fiennes,Killer Elite,2011,
"The Fellowship of the Ring (1953),", J. R. R. Tolkien,J. R. R. Tolkien's The Lord of the Rings,1978,
"The Fellowship of the Ring (1953),", J. R. R. Tolkien,The Lord of the Rings: The Fellowship of the Ring,2001,https://www.imdb.com/title/tt0120737/
"Felidae (1989),", Akif Pirinçci,Felidae,1994,https://curlie.org/Science/Biology/Flora_and_Fauna/Animalia/Chordata/Mammalia/Carnivora/Felidae/
"La Femme et le pantin (The Woman and the Puppet) (1898),", Pierre Louÿs,La Femme et le Pantin,1928,
"La Femme et le pantin (The Woman and the Puppet) (1898),", Pierre Louÿs,The Devil Is a Woman,1935,
"La Femme et le pantin (The Woman and the Puppet) (1898),", Pierre Louÿs,That Obscure Object of Desire,1977,https://www.imdb.com/title/tt0075824/
"Femmes de personnes (1983),", Christopher Frank,Femmes de personne,1984,
"Le Feu Follet (Will O' the Wisp a. k. a. The Fire Within) (1931),", Pierre Drieu La Rochelle,Oslo,,https://en.wikivoyage.org/wiki/Oslo#Q585
"Fever Pitch (1992),", Nick Hornby,Fever Pitch,1997,/wiki/Fever_Pitch_(1997_film)
"Fiddler's Green (1950),", Ernest K. Gann,The Raging Tide,1951,https://www.imdb.com/title/tt0043957/
"Fight Club (1996),", Chuck Palahniuk,Fight Club,1999,https://www.imdb.com/title/tt0137523/
"Fighting Caravans (1929),", Zane Grey,Fighting Caravans,1931,https://www.youtube.com/watch?v=uP62ensaN40
"Fighting Caravans (1929),", Zane Grey,Wagon Wheels,1934,
"The Final Programme (1968),", Michael Moorcock,The Final Programme,1973,/wiki/The_Final_Programme_(film)
"Fire on the Mountain (1962),", Edward Abbey,Fire on the Mountain,1981,
"Firefox (1977),", Craig Thomas,Firefox,1982,https://curlie.org/Computers/Software/Internet/Clients/Web/Browsers/Firefox/
"Firestarter (1980),", Stephen King,Firestarter,1984,
"Firestarter (1980),", Stephen King,Firestarter: Rekindled,2002,https://www.imdb.com/title/tt0297120/
"The Firm (1991),", John Grisham,The Firm,1993,
"First Blood (1972),", David Morrell,First Blood,1982,https://www.imdb.com/title/tt0083944/
"First Blood (1972),", David Morrell,Rambo: First Blood Part II,1985,https://www.imdb.com/title/tt0089880/
"First Blood (1972),", David Morrell,Rambo III,1988,https://www.imdb.com/title/tt0095956/
"First Blood (1972),", David Morrell,Rambo,2008,
"First Blood (1972),", David Morrell,Rambo: Last Blood,2019,https://www.imdb.com/title/tt1206885/
"First Love, Last Rites (1975),", Ian McEwan,Schmetterlinge,1988,https://www.imdb.com/title/tt0096052/
"First Love, Last Rites (1975),", Ian McEwan,First Love,,
"First Love, Last Rites (1975),", Ian McEwan,Last Rites,1997,
"First Love, Last Rites (1975),", Ian McEwan,Solid Geometry,2002,
"First Love, Last Rites (1975),", Ian McEwan,Butterflies,2005,/wiki/Category:Butterflies
"The First Men in the Moon (1901),", H. G. Wells,A Trip to the Moon,1902,https://www.imdb.com/title/tt0000417/
"The First Men in the Moon (1901),", H. G. Wells,The First Men in the Moon,1919,https://en.wikisource.org/wiki/The_First_Men_in_the_Moon
"The First Men in the Moon (1901),", H. G. Wells,First Men in the Moon,1964,/wiki/First_Men_in_the_Moon_(1964_film)
"The First Men in the Moon (1901),", H. G. Wells,The First Men in the Moon 3D,2012,
"The First Wives Club (1992),", Olivia Goldsmith,The First Wives Club,1996,https://www.imdb.com/title/tt0116313/
"The Five People You Meet in Heaven (2003),", Mitch Albom,The Five People You Meet in Heaven,2004,https://archive.org/details/isbn_9781401308582
"The Fixer (1966),", Bernard Malamud,The Fixer,1968,
"Flaming Youth (1921),", Samuel Hopkins Adams,Flaming Youth,1923,
"Flashpoint (1976),", George LaFountaine,Flashpoint,1984,/wiki/Flashpoint_(TV_show)
"Fletch (1974),", Gregory Mcdonald,Fletch,1985,
"Fletch (1974),", Gregory Mcdonald,Fletch Lives,1989,https://www.imdb.com/title/tt0097366/
"Fletch Won (1985),", Gregory Mcdonald,Fletch Won,2013,https://www.imdb.com/title/tt0275354/
"Flight of the Intruder (1986),", Stephen Coonts,Flight of the Intruder,1991,https://www.imdb.com/title/tt0099587/
"The Flight of the Phoenix (1964),", Elleston Trevor,The Flight of the Phoenix,1965,
"The Flight of the Phoenix (1964),", Elleston Trevor,Flight of the Phoenix,2004,
"Flowers in the Attic (1979),", V.C. Andrews,Flowers in the Attic,1987,/wiki/Flowers_in_the_Attic_(1987_film)
"Flowing Gold (1922),", Rex Beach,Flowing Gold,1940,
"Focus (1945),", Arthur Miller,Focus,2002,
"The Food of the Gods and How It Came to Earth (1904),", H. G. Wells,Village of the Giants,1965,https://www.imdb.com/title/tt0059878/
"The Food of the Gods and How It Came to Earth (1904),", H. G. Wells,The Food of the Gods,1976,
"The Food of the Gods and How It Came to Earth (1904),", H. G. Wells,Food of the Gods II,1989,https://www.imdb.com/title/tt0097371/
"The Fool of the Family (1930),", Margaret Kennedy,Escape Me Never,1935,
"For Love of the Game (1991),", Michael Shaara,For Love of the Game,1999,
"For Whom the Bell Tolls (1940),", Ernest Hemingway,For Whom the Bell Tolls,1943,/wiki/For_Whom_the_Bell_Tolls_(Metallica_song)
"The Forbidden Territory (1933),", Dennis Wheatley,Forbidden Territory,1934,https://www.imdb.com/title/tt0025131/
"Force 10 From Navarone (1968),", Alistair MacLean,Force 10 from Navarone,1978,/wiki/Force_10_from_Navarone_(film)
"Forever Amber (1944),", Kathleen Winsor,Forever Amber,1947,
"Forlorn River (1927),", Zane Grey,Forlorn River,1937,http://www.online-literature.com/zane-grey/
"The Formula (1979),", Steve Shagan,The Formula,1980,
"Forrest Gump (1986),", Winston Groom,Forrest Gump,1994,/wiki/Forrest_Gump_(character)
"The Fountainhead (1943),", Ayn Rand,The Fountainhead,1949,/wiki/The_Fountainhead_(film)
"The Four Feathers (1902),", A. E. W. Mason,Four Feathers,1915,https://www.tcm.com/tcmdb/title/493371/enwp
"The Four Feathers (1902),", A. E. W. Mason,The Four Feathers,1921,https://www.gutenberg.org/ebooks/18883
"The Four Feathers (1902),", A. E. W. Mason,Storm Over the Nile,1955,https://www.imdb.com/title/tt0048662/
"The Fourth Protocol (1984),", Frederick Forsyth,The Fourth Protocol,1987,/wiki/The_Fourth_Protocol_(film)
"The Fox and the Hound (1967),", Daniel Pratt Mannix IV,The Fox and the Hound,1981,https://www.imdb.com/title/tt0082406/
"The Fox and the Hound (1967),", Daniel Pratt Mannix IV,The Fox and the Hound 2,2006,https://www.bcdb.com/bcdb/cartoon.cgi?film=89989
"F.P.1 Doesn't Answer (a.k.a. F.P.1, or F.P.1 Doesn't Respond) (1933),", Curt Siodmak,F.P.1 antwortet nicht,1932,https://www.imdb.com/title/tt0022869/
"F.P.1 Doesn't Answer (a.k.a. F.P.1, or F.P.1 Doesn't Respond) (1933),", Curt Siodmak,F.P.1 Doesn't Respond,1933,
"F.P.1 Doesn't Answer (a.k.a. F.P.1, or F.P.1 Doesn't Respond) (1933),", Curt Siodmak,F.P.1 ne repond pas,1933,
"Frankenstein (1818),", Mary Shelley,Frankenstein,1910,/wiki/Frankenstein_(1910_film)
"Frankenstein (1818),", Mary Shelley,Life Without Soul,1915,https://www.tcm.com/tcmdb/title/552867/enwp
"Frankenstein (1818),", Mary Shelley,Universal seriesFrankenstein,1931,
"Frankenstein (1818),", Mary Shelley,Bride of Frankenstein,1935,https://catalog.afi.com/Catalog/moviedetails/5831
"Frankenstein (1818),", Mary Shelley,Son of Frankenstein,1939,https://www.imdb.com/title/tt0031951/
"Frankenstein (1818),", Mary Shelley,The Ghost of Frankenstein,1942,https://www.imdb.com/title/tt0034786/
"Frankenstein (1818),", Mary Shelley,Frankenstein Meets the Wolf Man,1943,https://catalog.afi.com/Catalog/moviedetails/438
"Frankenstein (1818),", Mary Shelley,House of Frankenstein,1944,
"Frankenstein (1818),", Mary Shelley,House of Dracula,1945,https://catalog.afi.com/Catalog/moviedetails/24451
"Frankenstein (1818),", Mary Shelley,Abbott and Costello Meet Frankenstein,1948,https://www.imdb.com/title/tt0040068/
"Frankenstein (1818),", Mary Shelley,Hammer seriesThe Curse of Frankenstein,1957,
"Frankenstein (1818),", Mary Shelley,The Revenge of Frankenstein,1958,https://www.imdb.com/title/tt0050894/
"Frankenstein (1818),", Mary Shelley,The Evil of Frankenstein,1964,https://www.imdb.com/title/tt0058073/
"Frankenstein (1818),", Mary Shelley,Frankenstein Created Woman,1967,https://www.imdb.com/title/tt0061683/
"Frankenstein (1818),", Mary Shelley,Frankenstein Must Be Destroyed,1969,https://www.imdb.com/title/tt0065738/
"Frankenstein (1818),", Mary Shelley,The Horror of Frankenstein,1970,https://www.imdb.com/title/tt0065851/
"Frankenstein (1818),", Mary Shelley,Frankenstein and the Monster from Hell,1974,https://www.imdb.com/title/tt0071519/
"Frankenstein (1818),", Mary Shelley,Frankenstein 1970,1958,https://www.imdb.com/title/tt0051630/
"Frankenstein (1818),", Mary Shelley,Toho seriesFrankenstein Conquers the World,1965,
"Frankenstein (1818),", Mary Shelley,The War of the Gargantuas,1966,https://www.imdb.com/title/tt0060440/
"Frankenstein (1818),", Mary Shelley,Dracula vs. Frankenstein,1971,https://www.imdb.com/title/tt0067017/
"Frankenstein (1818),", Mary Shelley,Andy Warhol's Frankenstein,1973,
"Frankenstein (1818),", Mary Shelley,Frankenstein: The True Story,1973,https://en.wikiquote.org/wiki/Special:Search/Frankenstein:_The_True_Story
"Frankenstein (1818),", Mary Shelley,Blackenstein,1973,https://www.imdb.com/title/tt0069795/
"Frankenstein (1818),", Mary Shelley,Young Frankenstein,1974,https://www.imdb.com/title/tt0072431/
"Frankenstein (1818),", Mary Shelley,The Bride,1985,
"Frankenstein (1818),", Mary Shelley,Frankenstein Unbound,1990,https://www.imdb.com/title/tt0099612/
"Frankenstein (1818),", Mary Shelley,Monster Mash,1995,/wiki/Monster_Mash#Misfits_version
"Frankenstein (1818),", Mary Shelley,House of Frankenstein 1997,1997,https://www.imdb.com/title/tt0127378/
"Frankenstein (1818),", Mary Shelley,Van Helsing,2004,/wiki/Van_Helsing_(film)
"Freaky Friday (1972),", Mary Rodgers,Freaky Friday,1976,/wiki/Freaky_Friday_(2003_film)
"Freaky Friday (1972),", Mary Rodgers,A Billion for Boris,1984,
"Freaky Friday (1972),", Mary Rodgers,Summer Switch,1984,
"Freaky Friday (1972),", Mary Rodgers,Freaky Monday,2013,
"Freedomland (1998),", Richard Price,Freedomland,2006,
"The French Lieutenant's Woman (1969),", John Fowles,The French Lieutenant's Woman,1981,/wiki/The_French_Lieutenant%27s_Woman_(film)
"Fried Green Tomatoes at the Whistle Stop Cafe (1987),", Fannie Flagg,Fried Green Tomatoes,1991,https://www.imdb.com/title/tt0101921/
"Friend (1985),", Diana Henstell,Deadly Friend,1986,https://www.imdb.com/title/tt0090917/
"The Friendly Persuasion (1945),", Jessamyn West,Friendly Persuasion,1956,
"From Here to Eternity (1951),", James Jones,From Here to Eternity,1953,https://www.imdb.com/title/tt0045793/
"From Russia, with Love (1957),", Ian Fleming,From Russia with Love,1963,
"From the Earth to the Moon (From the Earth to the Moon) (1865),", Jules Verne,From the Earth to the Moon,1958,http://jv.gilead.org.il/pg/moon/
"From the Earth to the Moon (From the Earth to the Moon) (1865),", Jules Verne,The Fabulous Baron Munchausen,1961,https://www.imdb.com/title/tt0054665/
"From the Earth to the Moon (From the Earth to the Moon) (1865),", Jules Verne,Jules Verne's Rocket to the Moon,1967,https://www.bfi.org.uk/films-tv-people/4ce2b6adb97b9
"From the Terrace (1958),", John O'Hara,From the Terrace,1960,https://www.imdb.com/title/tt0053841/
"Funny Farm (1985),", Jay Cronley,Funny Farm,1988,
"The Furies (1945),", Niven Busch,The Furies,1950,
"The Fury (1976),", John Farris,The Fury,1978,
"The Fuzzy Pink Nightgown (1956),", Sylvia Tate,The Fuzzy Pink Nightgown,1957,https://www.imdb.com/title/tt0050422/
"Game no na wa Yuukai (a.k.a. Geimu no na wa Yuukai (The Name of the Game is Kidnapping)) (2002),", Keigo Higashino,G@me,2003,https://www.imdb.com/title/tt0431077/
"The Game of X (1965),", Robert Sheckley,Condorman,1981,https://d23.com/disney-a-to-z/condorman-film
"Garden of Allah (1904),", Robert Smythe Hichens,The Garden of Allah,1916,
"The Garden of God (1923),", Henry De Vere Stacpoole,Return to the Blue Lagoon,1991,https://www.imdb.com/title/tt0102782/
"Gardens of Stone (1983),", Nicholas Proffitt,Gardens of Stone,1987,https://www.imdb.com/title/tt0093073/
"The Gay Sisters (1942),", Stephen Longstreet,The Gay Sisters,,https://www.imdb.com/title/tt0034770/
"Gentle Annie (1942),", MacKinlay Kantor,Gentle Annie,1944,
"Gentlemen Prefer Blondes (1925),", Anita Loos,Gentlemen Prefer Blondes,1928,
"Geordie (1950),", David Walker,Geordie,1955,
"Georgy Girl (1965),", Margaret Forster,Georgy Girl,1966,https://www.imdb.com/title/tt0060453/
"Get Shorty (1990),", Elmore Leonard,Get Shorty,1995,/wiki/Get_Shorty_(film)
"The Getaway (1959),", Jim Thompson,The Getaway,1972,
"The Ghost (2007),", Robert Harris,The Ghost Writer,2010,https://www.imdb.com/title/tt0087331/
"The Ghost and Mrs. Muir (1945),", Josephine Leslie (as R. A. Dick),The Ghost and Mrs. Muir,1947,https://www.imdb.com/title/tt0039420/
"Giant (1952),", Edna Ferber,Giant,1956,
"Gidge (1957),", Frederick Kohner,Gidget,1959,/wiki/Gidget_(film)
"Gigi (1944),", Colette,Gigi,1949,
"The Gingerbread Man (written in 1994, yet left unpublished),", John Grisham,The Gingerbread Man,1998,https://commons.wikimedia.org/wiki/Category:The_Gingerbread_Man
"The Girl from Petrovka (1972),", George Feifer,The Girl from Petrovka,1974,https://www.imdb.com/title/tt0071554/
"The Girl Who Leapt Through Time (1966–1967) (serial),", (1967) (novel),The Girl Who Leapt Through Time,1983,http://www.isfdb.org/cgi-bin/title.cgi?1262847
"The Girl Who Leapt Through Time (1966–1967) (serial),", (1967) (novel),Morning Musume: Shinshun! Love Stories,2002,
"The Girl Who Leapt Through Time (1966–1967) (serial),", (1967) (novel),Time Traveller: The Girl Who Leapt Through Time,2010,
"Girl with a Pearl Earring (1999),", Tracy Chevalier,Girl with a Pearl Earring,2003,https://www.mauritshuis.nl/en/explore/the-collection/artworks/girl-with-a-pearl-earring-670/
"The Girls' Guide to Hunting and Fishing (2000),", Melissa Bank,Suburban Girl,2008,https://www.imdb.com/title/tt0428579/
"The Girls' Guide to Hunting and Fishing (2000),", Melissa Bank,The Girls' Guide to Hunting and Fishing,2012,/w/index.php?title=The_Girls%27_Guide_to_Hunting_and_Fishing_(film)&action=edit&redlink=1
"The Glass Inferno (1974),", Thomas N. Scortia and Frank M. Robinson,The Towering Inferno,1974,https://www.imdb.com/title/tt0072308/
"Glitz (1985),", Elmore Leonard,Glitz,1988,
"Glory for Me (1945),", MacKinlay Kantor,The Best Years of Our Lives,1946,https://www.imdb.com/title/tt0036868/
"Gnomes (a.k.a. Leven en werken van de Kabouter) (1977),", Wil Huygen and Rien Poortvliet,Gnomes,1980,/wiki/Gnomes_(book)
"The Gnomobile (1937),", Upton Sinclair,The Gnome-Mobile,1967,https://www.imdb.com/title/tt0061715/
"The Go-Between (1953),", L. P. Hartley,The Go-Between,1971,https://www.worldcat.org/oclc/33237584
"God and My Country (1954),", MacKinlay Kantor,Follow Me,,
"God and My Country (1954),", MacKinlay Kantor,Boys!,1966,
"The Godfather (1969),", Mario Puzo,The Godfather,1972,/wiki/The_Godfather_(2006_video_game)
"The Godfather (1969),", Mario Puzo,The Godfather Part II,1974,https://www.imdb.com/title/tt0071562/
"The Godfather (1969),", Mario Puzo,The Godfather Part III,1990,https://www.imdb.com/title/tt0099674/
"Gods and Generals (1996),", Jeffrey Shaara,Gettysburg,1993,
"Gods and Generals (1996),", Jeffrey Shaara,Gods and Generals,2003,
"The Gods Hate Kansas (1964),", Joseph Millard,They Came from Beyond Space,1967,https://www.imdb.com/title/tt0062360/
"God's Little Acre (1933),", Erskine Caldwell,God's Little Acre,1958,
"Gold Coast (1980),", Elmore Leonard,Gold Coast,1997,
"Gold Mine (1970),", Wilbur Smith,Gold,1974,http://www.rsc.org/images/CIIE_Gold_48k_tcm18-118269.mp3
"The Golden Bowl (1904),", Henry James,The Golden Bowl,1971,https://standardebooks.org/ebooks/henry-james/the-golden-bowl
"The Golden Evenings of Summer (1971),", Will Stanton,Charley and the Angel,1973,https://www.tcm.com/tcmdb/title/70651/enwp
"Goldfinger (1959),", Ian Fleming,Goldfinger,1964,
"Gone with the Wind (1936),", Margaret Mitchell,Gone with the Wind,1939,
"The Good Earth (1931),", Pearl S. Buck,The Good Earth,1937,
"The Good German (2001),", Joseph Kanon,The Good German,2006,https://www.imdb.com/title/tt0452624/
